time,seq,class,rtt,hops
283,176,1,0,3
284,283,8,34.1766,3
285,84,1,0,3
286,1,1,0,3
287,51,1,0,3
288,84,1,0,3
289,288,2,19.3287,3
290,100,1,0,3
292,100,1,0,3
293,290,2,-1,-1
293,51,1,0,3
294,37,1,0,3
295,62,1,0,3
296,102,1,0,3
297,85,1,0,3
298,60,1,0,3
299,154,1,0,3
300,94,1,0,3
301,56,1,0,3
302,0,1,0,3
303,83,1,0,3
304,162,1,0,3
305,12,1,0,3
306,0,1,0,3
307,81,1,0,3
308,168,1,0,3
310,166,1,0,3
311,308,5,-1,-1
311,310,2,22.8486,3
312,101,1,0,3
313,176,1,0,3
315,102,1,0,3
316,313,3,-1,-1
316,315,3,19.5206,3
317,14,1,0,3
319,32,1,0,3
320,317,3,-1,-1
320,37,1,0,3
321,320,2,21.7607,3
322,41,1,0,3
323,12,1,0,3
324,92,1,0,3
325,27,1,0,3
326,121,1,0,3
327,326,5,31.4886,3
328,121,1,0,3
329,42,1,0,3
330,7,1,0,3
331,41,1,0,3
332,10,1,0,3
333,92,1,0,3
334,7,1,0,3
335,9,1,0,3
336,27,1,0,3
337,6,1,0,3
338,37,1,0,3
339,338,1,13.2484,3
340,93,1,0,3
341,32,1,0,3
342,3,1,0,3
343,54,1,0,3
344,69,1,0,3
345,81,1,0,3
346,41,1,0,3
347,33,1,0,3
348,128,1,0,3
349,53,1,0,3
350,92,1,0,3
351,81,1,0,3
352,7,1,0,3
353,69,1,0,3
355,354,17,38.1447,3
356,353,3,-1,-1
356,355,4,26.0487,3
357,53,1,0,3
358,310,2,47000,3
359,22,1,0,3
361,93,1,0,3
362,359,8,-1,-1
362,92,1,0,3
363,12,1,0,3
364,60,1,0,3
365,102,1,0,3
366,60,1,0,3
367,17,1,0,3
368,121,1,0,3
369,51,1,0,3
370,168,1,0,3
371,19,1,0,3
372,58,1,0,3
373,22,1,0,3
374,0,1,0,3
375,17,1,0,3
376,5,1,0,3
377,22,1,0,3
378,17,1,0,3
379,162,1,0,3
380,124,1,0,3
381,112,1,0,3
382,338,1,43000,3
383,124,1,0,3
384,14,1,0,3
385,51,1,0,3
386,10,1,0,3
387,56,1,0,3
388,27,1,0,3
389,176,1,0,3
390,94,1,0,3
391,51,1,0,3
392,32,1,0,3
393,32,1,0,3
394,25,1,0,3
395,163,1,0,3
397,32,1,0,3
398,395,7,-1,-1
398,76,1,0,3
399,51,1,0,3
400,25,1,0,3
401,121,1,0,3
402,51,1,0,3
403,14,1,0,3
404,121,1,0,3
405,33,1,0,3
406,83,1,0,3
407,56,1,0,3
408,338,1,69000,3
409,10,1,0,3
410,409,2,25.4086,3
411,6,1,0,3
412,42,1,0,3
413,176,1,0,3
414,53,1,0,3
415,81,1,0,3
416,0,1,0,3
417,416,5,22.5286,3
418,51,1,0,3
419,60,1,0,3
420,54,1,0,3
421,420,9,30.6566,3
422,84,1,0,3
423,168,1,0,3
424,54,1,0,3
425,19,1,0,3
426,6,1,0,3
427,426,18,23.4887,3
428,9,1,0,3
429,53,1,0,3
430,69,1,0,3
431,162,1,0,3
432,102,1,0,3
433,162,1,0,3
434,91,1,0,3
435,56,1,0,3
436,435,1,27.3287,3
437,338,1,98000,3
438,166,1,0,3
439,435,1,3000,3
440,435,1,4000,3
441,94,1,0,3
442,54,1,0,3
443,10,1,0,3
444,5,1,0,3
445,435,1,9000,3
446,166,1,0,3
447,19,1,0,3
448,1,1,0,3
449,176,1,0,3
450,19,1,0,3
451,153,1,0,3
452,81,1,0,3
453,452,4,23.4887,3
454,85,1,0,3
456,455,16,20.8006,3
457,454,2,-1,-1
457,100,1,0,3
458,153,1,0,3
459,37,1,0,3
460,19,1,0,3
461,5,1,0,3
462,338,1,0,3
463,154,1,0,3
464,102,1,0,3
465,112,1,0,3
466,121,1,0,3
467,176,1,0,3
468,100,1,0,3
469,187,1,0,3
470,32,1,0,3
471,45,1,0,3
472,128,1,0,3
473,187,1,0,3
474,51,1,0,3
475,101,1,0,3
476,154,1,0,3
477,338,1,0,3
478,45,1,0,3
479,124,1,0,3
480,53,1,0,3
481,480,8,25.7286,3
482,101,1,0,3
483,128,1,0,3
484,83,1,0,3
485,62,1,0,3
486,27,1,0,3
487,101,1,0,3
488,52,1,0,3
489,22,1,0,3
490,45,1,0,3
491,1,1,0,3
492,491,4,18.8806,3
493,409,2,83000,3
494,42,1,0,3
495,94,1,0,3
496,100,1,0,3
497,91,1,0,3
498,17,1,0,3
499,92,1,0,3
500,97,1,0,3
501,10,1,0,3
502,501,3,21.4407,3
503,168,1,0,3
504,154,1,0,3
505,9,1,0,3
506,92,1,0,3
507,3,1,0,3
508,39,1,0,3
509,166,1,0,3
510,53,1,0,3
511,162,1,0,3
512,22,1,0,3
513,102,1,0,3
514,180,1,0,3
515,17,1,0,3
516,27,1,0,3
517,9,1,0,3
518,41,1,0,3
519,37,1,0,3
520,154,1,0,3
521,7,1,0,3
522,521,4,19.2007,3
523,17,1,0,3
524,166,1,0,3
525,524,3,22.8486,3
526,163,1,0,3
527,25,1,0,3
528,128,1,0,3
530,45,1,0,3
531,528,3,-1,-1
531,81,1,0,3
532,154,1,0,3
533,22,1,0,3
534,12,1,0,3
535,154,1,0,3
536,14,1,0,3
537,51,1,0,3
538,41,1,0,3
539,187,1,0,3
540,539,2,21.7607,3
541,112,1,0,3
542,62,1,0,3
543,76,1,0,3
544,51,1,0,3
545,166,1,0,3
546,154,1,0,3
547,81,1,0,3
548,180,1,0,3
549,76,1,0,3
550,101,1,0,3
551,22,1,0,3
552,102,1,0,3
553,94,1,0,3
554,27,1,0,3
555,69,1,0,3
556,154,1,0,3
557,94,1,0,3
558,42,1,0,3
559,10,1,0,3
561,19,1,0,3
562,559,2,-1,-1
562,93,1,0,3
563,69,1,0,3
564,180,1,0,3
565,37,1,0,3
566,565,2,27.3286,3
567,100,1,0,3
568,45,1,0,3
569,32,1,0,3
570,53,1,0,3
571,154,1,0,3
572,571,3,16.6406,3
573,572,3,24.5767,3
574,573,2,22.4007,3
575,162,1,0,3
576,575,3,17.9207,3
577,57,1,0,3
578,10,1,0,3
579,62,1,0,3
580,6,1,0,3
581,7,1,0,3
582,56,1,0,3
583,5,1,0,3
584,91,1,0,3
585,234,2,0,3
586,83,1,0,3
587,124,1,0,3
588,22,1,0,3
589,9,1,0,3
590,589,4,33.3446,3
591,17,1,0,3
592,92,1,0,3
593,176,1,0,3
594,85,1,0,3
595,338,1,0,3
596,21,4,0,3
597,25,1,0,3
598,58,1,0,3
599,128,1,0,3
600,94,1,0,3
601,17,1,0,3
602,153,1,0,3
603,153,1,0,3
604,101,1,0,3
605,168,1,0,3
606,605,6,17.2806,3
607,69,1,0,3
608,607,10,22.4007,3
609,22,1,0,3
610,12,1,0,3
611,1,1,0,3
612,22,1,0,3
613,54,1,0,3
614,101,1,0,3
616,128,1,0,3
617,614,3,-1,-1
617,124,1,0,3
618,22,1,0,3
619,56,1,0,3
620,9,1,0,3
621,153,1,0,3
622,94,1,0,3
623,131,2,0,3
624,45,1,0,3
625,409,2,0,3
626,166,1,0,3
627,100,1,0,3
628,60,1,0,3
629,81,1,0,3
630,0,1,0,3
631,630,3,21.4407,3
632,182,2,0,3
633,93,1,0,3
634,435,1,0,3
635,166,1,0,3
636,168,1,0,3
637,17,1,0,3
638,12,1,0,3
639,27,1,0,3
640,639,2,18.8807,3
641,93,1,0,3
642,53,1,0,3
643,22,1,0,3
644,83,1,0,3
645,62,1,0,3
646,162,1,0,3
647,154,1,0,3
648,10,1,0,3
649,187,1,0,3
650,5,1,0,3
652,69,1,0,3
653,650,5,-1,-1
653,94,1,0,3
654,288,2,0,3
655,83,1,0,3
656,62,1,0,3
657,27,1,0,3
658,166,1,0,3
659,56,1,0,3
660,60,1,0,3
661,94,1,0,3
662,166,1,0,3
663,92,1,0,3
664,27,1,0,3
665,168,1,0,3
666,0,1,0,3
667,163,1,0,3
668,32,1,0,3
669,187,1,0,3
670,5,1,0,3
671,12,1,0,3
672,153,1,0,3
673,25,1,0,3
674,93,1,0,3
675,17,1,0,3
676,3,1,0,3
677,39,1,0,3
678,7,1,0,3
679,52,1,0,3
680,37,1,0,3
681,7,1,0,3
682,27,1,0,3
683,53,1,0,3
684,100,1,0,3
685,1,1,0,3
686,51,1,0,3
687,60,1,0,3
688,14,1,0,3
689,17,1,0,3
690,689,3,24.1287,3
691,37,1,0,3
692,33,1,0,3
694,128,1,0,3
695,692,22,-1,-1
695,162,1,0,3
696,14,1,0,3
697,56,1,0,3
698,163,1,0,3
699,58,1,0,3
700,81,1,0,3
701,700,2,26.3046,3
702,701,8,25.4087,3
703,81,1,0,3
704,703,5,21.8887,3
705,180,1,0,3
706,705,5,25.8567,3
707,176,1,0,3
708,524,3,0,3
709,42,1,0,3
710,187,1,0,3
711,0,1,0,3
712,97,1,0,3
713,27,1,0,3
714,56,1,0,3
715,25,1,0,3
716,100,1,0,3
717,27,1,0,3
718,101,1,0,3
719,187,1,0,3
720,435,1,0,3
721,57,1,0,3
722,33,1,0,3
723,722,3,27.3286,3
724,176,1,0,3
725,724,2,32.7686,3
726,33,1,0,3
727,92,1,0,3
728,32,1,0,3
729,33,1,0,3
730,25,1,0,3
731,27,1,0,3
732,0,1,0,3
733,14,1,0,3
734,0,1,0,3
735,17,1,0,3
736,12,1,0,3
737,52,1,0,3
739,22,1,0,3
740,737,4,-1,-1
740,53,1,0,3
741,128,1,0,3
742,84,1,0,3
743,154,1,0,3
744,743,2,26.3686,3
745,744,5,28.9287,3
746,745,4,16.6406,3
747,435,1,0,3
748,85,1,0,3
749,748,3,19.2006,3
750,17,1,0,3
751,187,1,0,3
753,5,1,0,3
754,751,2,-1,-1
754,92,1,0,3
755,92,1,0,3
756,22,1,0,3
757,112,1,0,3
758,757,2,19.8407,3
759,22,1,0,3
760,45,1,0,3
761,100,1,0,3
762,92,1,0,3
763,83,1,0,3
764,51,1,0,3
765,69,1,0,3
766,765,2,23.4886,3
767,42,1,0,3
768,724,2,43000,3
769,37,1,0,3
770,33,1,0,3
771,168,1,0,3
772,153,1,0,3
773,112,1,0,3
774,102,1,0,3
775,121,1,0,3
776,5,1,0,3
777,776,2,22.0807,3
778,42,1,0,3
779,83,1,0,3
780,10,1,0,3
781,51,1,0,3
782,94,1,0,3
783,52,1,0,3
784,100,1,0,3
785,1,1,0,3
786,56,1,0,3
787,27,1,0,3
788,132,2,0,3
789,788,4,18.5606,3
790,17,1,0,3
791,92,1,0,3
792,51,1,0,3
793,128,1,0,3
794,100,1,0,3
795,76,1,0,3
796,102,1,0,3
797,796,6,20.1607,3
798,157,2,0,3
799,76,1,0,3
800,101,1,0,3
801,163,1,0,3
802,22,1,0,3
803,124,1,0,3
804,803,2,24.1286,3
805,100,1,0,3
806,100,1,0,3
807,100,1,0,3
808,100,1,0,3
810,124,1,0,3
811,808,5,-1,-1
811,17,1,0,3
812,3,1,0,3
813,62,1,0,3
814,37,1,0,3
815,9,1,0,3
816,121,1,0,3
817,101,1,0,3
818,435,1,0,3
819,69,1,0,3
820,6,1,0,3
821,820,3,31.8086,3
822,0,1,0,3
823,56,1,0,3
824,112,1,0,3
825,22,1,0,3
826,128,1,0,3
827,17,1,0,3
828,310,2,0,3
829,9,1,0,3
830,0,1,0,3
831,53,1,0,3
832,17,1,0,3
833,832,2,24.3206,3
834,42,1,0,3
835,14,1,0,3
836,0,1,0,3
837,836,2,19.5207,3
838,162,1,0,3
839,45,1,0,3
840,180,1,0,3
