time,seq,class,content,type
1,0,1,59,5
1,0,1,59,5
1,0,1,59,5
1,0,1,59,5
1,0,1,59,5
1,0,1,59,5
1,0,1,59,5
1,0,1,59,6
1,0,1,59,6
1,0,1,59,6
2,1,1,1,5
2,1,1,1,5
2,1,1,1,5
2,1,1,1,5
2,1,1,1,5
2,1,1,1,6
2,1,1,1,5
2,1,1,1,5
2,1,1,1,6
2,1,1,1,6
4,3,1,54,5
4,3,1,54,5
4,3,1,54,5
4,3,1,54,5
4,3,1,54,5
4,3,1,54,5
4,3,1,54,5
4,3,1,54,6
4,3,1,54,6
4,3,1,54,6
5,4,1,15,5
5,4,1,15,5
5,4,1,15,5
5,4,1,15,5
5,4,1,15,5
5,4,1,15,6
5,4,1,15,6
5,4,1,15,5
5,4,1,15,5
6,5,1,17,5
6,5,1,17,5
6,5,1,17,5
6,5,1,17,5
6,5,1,17,5
6,5,1,17,5
6,5,1,17,5
6,5,1,17,6
6,5,1,17,6
6,5,1,17,6
7,6,1,4,5
7,6,1,4,5
7,6,1,4,5
7,6,1,4,5
7,6,1,4,5
7,6,1,4,5
7,6,1,4,5
7,6,1,4,6
7,6,1,4,6
7,6,1,4,6
8,7,1,30,5
8,7,1,30,5
8,7,1,30,5
8,7,1,30,5
8,7,1,30,5
8,7,1,30,5
8,7,1,30,5
8,7,1,30,6
8,7,1,30,6
8,7,1,30,6
9,8,3,57,5
9,8,3,57,5
9,8,3,57,5
9,8,3,57,5
9,8,3,57,5
9,8,3,57,6
9,8,3,57,5
9,8,3,57,5
9,8,3,57,6
9,8,3,57,6
10,9,1,55,5
10,9,1,55,5
10,9,1,55,5
10,9,1,55,5
10,9,1,55,5
10,9,1,55,5
10,9,1,55,5
10,9,1,55,6
10,9,1,55,6
10,9,1,55,6
11,10,1,40,5
11,10,1,40,5
11,10,1,40,5
11,10,1,40,5
11,10,1,40,5
11,10,1,40,5
11,10,1,40,5
11,10,1,40,6
11,10,1,40,6
11,10,1,40,6
12,11,2,55,5
12,11,2,55,5
12,11,2,55,5
12,11,2,55,5
12,11,2,55,5
12,11,2,55,6
12,11,2,55,5
12,11,2,55,5
12,11,2,55,6
12,11,2,55,6
13,12,1,12,5
13,12,1,12,5
13,12,1,12,5
13,12,1,12,5
13,12,1,12,5
13,12,1,12,5
13,12,1,12,5
13,12,1,12,6
13,12,1,12,6
13,12,1,12,6
14,13,6,24,5
14,13,6,24,5
14,13,6,24,5
14,13,6,24,5
14,13,6,24,5
14,13,6,24,5
14,13,6,24,5
14,13,6,24,6
14,13,6,24,6
14,13,6,24,6
15,14,1,8,5
15,14,1,8,5
15,14,1,8,5
15,14,1,8,5
15,14,1,8,5
15,14,1,8,5
15,14,1,8,5
