time,seq,class,content,type
1,0,1,43,5
1,0,1,43,5
1,0,1,43,5
1,0,1,43,5
1,0,1,43,5
1,0,1,43,5
1,0,1,43,5
1,0,1,43,6
1,0,1,43,6
1,0,1,43,6
2,1,1,42,5
2,1,1,42,5
2,1,1,42,5
2,1,1,42,5
2,1,1,42,5
2,1,1,42,5
2,1,1,42,5
2,1,1,42,6
2,1,1,42,6
2,1,1,42,6
3,2,1,33,5
3,2,1,33,5
3,2,1,33,5
3,2,1,33,5
3,2,1,33,5
3,2,1,33,6
3,2,1,33,6
3,2,1,33,5
3,2,1,33,5
4,3,1,54,5
4,3,1,54,5
4,3,1,54,5
4,3,1,54,5
4,3,1,54,5
4,3,1,54,5
4,3,1,54,5
4,3,1,54,6
4,3,1,54,6
4,3,1,54,6
5,4,1,51,5
5,4,1,51,5
5,4,1,51,5
5,4,1,51,5
5,4,1,51,5
5,4,1,51,6
5,4,1,51,5
5,4,1,51,5
5,4,1,51,6
5,4,1,51,6
6,5,1,60,5
6,5,1,60,5
6,5,1,60,5
6,5,1,60,5
6,5,1,60,5
6,5,1,60,5
6,5,1,60,5
6,5,1,60,6
6,5,1,60,6
6,5,1,60,6
7,6,1,22,5
7,6,1,22,5
7,6,1,22,5
7,6,1,22,5
7,6,1,22,5
7,6,1,22,5
7,6,1,22,5
7,6,1,22,6
8,7,3,27,5
8,7,3,27,5
8,7,3,27,5
8,7,3,27,5
8,7,3,27,5
8,7,3,27,6
8,7,3,27,6
8,7,3,27,5
8,7,3,27,5
9,8,1,3,5
9,8,1,3,5
9,8,1,3,5
9,8,1,3,5
9,8,1,3,5
9,8,1,3,5
9,8,1,3,5
9,8,1,3,6
9,8,1,3,6
9,8,1,3,6
10,9,1,32,5
10,9,1,32,5
10,9,1,32,5
10,9,1,32,5
10,9,1,32,5
10,9,1,32,5
10,9,1,32,5
10,9,1,32,6
10,9,1,32,6
10,9,1,32,6
11,10,4,18,5
11,10,4,18,5
11,10,4,18,5
11,10,4,18,5
11,10,4,18,5
11,10,4,18,5
11,10,4,18,5
11,10,4,18,6
12,11,1,59,5
12,11,1,59,5
12,11,1,59,5
12,11,1,59,5
12,11,1,59,5
12,11,1,59,5
12,11,1,59,5
12,11,1,59,6
12,11,1,59,6
12,11,1,59,6
13,12,1,44,5
13,12,1,44,5
13,12,1,44,5
13,12,1,44,5
13,12,1,44,5
13,12,1,44,5
13,12,1,44,5
13,12,1,44,6
14,13,1,57,5
14,13,1,57,5
14,13,1,57,5
14,13,1,57,5
14,13,1,57,5
14,13,1,57,5
14,13,1,57,5
14,13,1,57,6
14,13,1,57,6
14,13,1,57,6
16,15,1,45,5
16,15,1,45,5
16,15,1,45,5
16,15,1,45,5
16,15,1,45,5
16,15,1,45,5
16,15,1,45,5
16,15,1,45,6
16,15,1,45,6
16,15,1,45,6
17,16,1,47,5
17,16,1,47,5
17,16,1,47,5
17,16,1,47,5
17,16,1,47,5
17,16,1,47,5
17,16,1,47,5
17,16,1,47,6
17,16,1,47,6
17,16,1,47,6
18,17,3,60,5
18,17,3,60,5
18,17,3,60,5
18,17,3,60,5
18,17,3,60,5
18,17,3,60,5
18,17,3,60,5
18,17,3,60,6
19,18,1,22,5
19,18,1,22,5
19,18,1,22,5
19,18,1,22,5
19,18,1,22,5
19,18,1,22,5
19,18,1,22,5
19,18,1,22,6
19,18,1,22,6
19,18,1,22,6
20,19,3,47,5
20,19,3,47,5
20,19,3,47,5
20,19,3,47,5
20,19,3,47,5
20,19,3,47,5
20,19,3,47,5
20,19,3,47,6
20,19,3,47,6
20,19,3,47,6
21,20,2,2,5
21,20,2,2,5
21,20,2,2,5
21,20,2,2,5
21,20,2,2,5
21,20,2,2,5
21,20,2,2,5
21,20,2,2,6
21,20,2,2,6
21,20,2,2,6
24,23,1,5,5
24,23,1,5,5
24,23,1,5,5
24,23,1,5,5
24,23,1,5,5
24,23,1,5,5
24,23,1,5,5
24,23,1,5,6
24,23,1,5,6
24,23,1,5,6
25,24,3,17,5
25,24,3,17,5
25,24,3,17,5
25,24,3,17,5
25,24,3,17,5
25,24,3,17,5
25,24,3,17,5
25,24,3,17,6
25,24,3,17,6
25,24,3,17,6
27,26,4,50,5
27,26,4,50,5
27,26,4,50,5
27,26,4,50,5
27,26,4,50,5
27,26,4,50,5
27,26,4,50,5
27,26,4,50,6
27,26,4,50,6
27,26,4,50,6
28,27,1,34,5
28,27,1,34,5
28,27,1,34,5
28,27,1,34,5
28,27,1,34,5
28,27,1,34,6
28,27,1,34,6
28,27,1,34,5
28,27,1,34,5
30,29,1,55,5
30,29,1,55,5
30,29,1,55,5
30,29,1,55,5
30,29,1,55,5
30,29,1,55,5
30,29,1,55,5
30,29,1,55,6
30,29,1,55,6
30,29,1,55,6
32,31,1,41,5
32,31,1,41,5
32,31,1,41,5
32,31,1,41,5
32,31,1,41,5
32,31,1,41,6
32,31,1,41,6
32,31,1,41,5
32,31,1,41,5
33,32,1,30,5
33,32,1,30,5
33,32,1,30,5
33,32,1,30,5
33,32,1,30,5
33,32,1,30,6
33,32,1,30,6
33,32,1,30,5
33,32,1,30,5
34,33,1,34,5
34,33,1,34,5
34,33,1,34,5
34,33,1,34,6
34,33,1,34,5
34,33,1,34,5
34,33,1,34,5
34,33,1,34,6
35,34,1,36,5
35,34,1,36,5
35,34,1,36,5
35,34,1,36,5
35,34,1,36,5
35,34,1,36,5
35,34,1,36,5
35,34,1,36,6
35,34,1,36,6
35,34,1,36,6
36,35,1,48,5
36,35,1,48,5
36,35,1,48,5
36,35,1,48,5
36,35,1,48,5
36,35,1,48,5
36,35,1,48,5
36,35,1,48,6
36,35,1,48,6
36,35,1,48,6
37,36,1,30,5
37,36,1,30,5
37,36,1,30,5
37,36,1,30,5
37,36,1,30,6
37,36,1,30,5
37,36,1,30,5
39,38,1,9,5
39,38,1,9,5
39,38,1,9,5
39,38,1,9,5
39,38,1,9,5
39,38,1,9,5
39,38,1,9,5
39,38,1,9,6
39,38,1,9,6
39,38,1,9,6
40,39,5,5,5
40,39,5,5,5
40,39,5,5,5
40,39,5,5,5
40,39,5,5,5
40,39,5,5,5
40,39,5,5,5
40,39,5,5,6
40,39,5,5,6
40,39,5,5,6
41,40,1,16,5
41,40,1,16,5
41,40,1,16,5
41,40,1,16,5
41,40,1,16,5
41,40,1,16,6
41,40,1,16,6
41,40,1,16,5
41,40,1,16,5
41,40,1,16,6
42,41,1,2,5
42,41,1,2,5
42,41,1,2,5
42,41,1,2,5
42,41,1,2,5
42,41,1,2,5
42,41,1,2,5
42,41,1,2,6
42,41,1,2,6
42,41,1,2,6
43,42,5,51,5
43,42,5,51,5
43,42,5,51,5
43,42,5,51,5
