time,seq,class,rtt,hops
1,0,1,24.1286,3
2,1,1,31.2966,3
4,3,1,20.4806,3
5,2,1,-1,-1
5,4,1,22.8486,3
6,5,1,27.3286,3
9,6,1,-1,-1
9,8,1,29.2486,3
10,7,3,-1,-1
10,9,1,29.5687,3
12,11,1,36.0966,3
13,10,4,-1,-1
14,13,1,33.2166,3
15,12,1,-1,-1
15,3,1,11000,3
16,15,1,20.8007,3
17,16,1,32.8967,3
19,18,1,27.6486,3
20,17,3,-1,-1
20,19,3,24.7687,3
21,20,2,16.6406,3
22,11,1,10000,3
23,18,1,4000,3
24,23,1,18.5607,3
25,24,3,29.8886,3
26,9,1,16000,3
27,26,4,19.8406,3
29,8,1,20000,3
30,27,1,-1,-1
30,29,1,37.3767,3
31,11,1,19000,3
34,31,1,-1,-1
34,33,1,14.4004,3
35,32,1,-1,-1
35,34,1,29.5686,3
36,35,1,27.1367,3
38,29,1,8000,3
39,36,1,-1,-1
39,38,1,30.2086,3
40,39,5,32.2567,3
41,40,1,21.1207,3
42,41,1,21.7606,3
43,42,5,25.0886,3
44,4,1,39000,3
47,44,1,-1,-1
47,5,1,41000,3
48,45,1,-1,-1
48,15,1,32000,3
49,48,1,19.8406,3
50,49,3,29.5686,3
51,50,1,30.0167,3
52,51,1,32.7686,3
53,52,1,18.2407,3
54,53,1,19.5206,3
55,29,1,25000,3
56,4,1,51000,3
57,56,1,24.4486,3
58,57,1,25.7287,3
60,59,1,30.2086,3
61,58,1,-1,-1
61,60,1,27.3286,3
62,11,1,50000,3
63,38,1,24000,3
64,63,1,21.2486,3
66,65,1,23.0407,3
67,64,1,-1,-1
68,67,1,18.8806,3
69,66,3,-1,-1
69,48,1,20000,3
70,69,1,17.0884,3
71,13,1,57000,3
72,53,1,18000,3
73,65,1,7000,3
74,73,1,26.0486,3
75,74,1,34.4966,3
76,56,1,19000,3
77,76,1,22.8487,3
78,18,1,59000,3
79,15,1,63000,3
80,3,1,76000,3
81,80,1,28.6086,3
82,81,1,19.8406,3
83,67,1,15000,3
84,60,1,23000,3
85,84,1,23.4887,3
86,84,1,1000,3
87,86,3,31.9366,3
89,11,1,77000,3
90,87,1,-1,-1
90,89,3,25.7286,3
91,90,1,23.3606,3
92,1,1,90000,3
93,35,1,57000,3
94,93,1,35.1367,3
95,94,1,20.2884,3
96,95,45,24.1286,3
97,80,1,16000,3
98,97,1,22.2087,3
99,98,1,12.8004,3
100,41,1,58000,3
101,13,1,87000,3
102,18,1,83000,3
103,35,1,67000,3
104,93,1,10000,3
105,15,1,89000,3
106,84,1,21000,3
107,0,1,0,3
108,97,1,10000,3
109,98,1,10000,3
111,50,1,60000,3
112,109,1,-1,-1
112,59,1,52000,3
113,112,2,18.2407,3
114,98,1,15000,3
115,114,1,30.9766,3
116,115,1,21.2487,3
118,117,1,20.8007,3
119,116,1,-1,-1
120,119,1,22.7206,3
121,118,1,-1,-1
121,84,1,36000,3
122,69,1,52000,3
123,15,1,0,3
124,18,1,0,3
125,50,1,74000,3
127,126,4,35.4566,3
128,125,1,-1,-1
128,127,1,26.0486,3
129,128,1,20.8006,3
130,129,3,18.2406,3
131,130,2,23.1686,3
132,114,1,17000,3
134,76,1,57000,3
135,132,1,-1,-1
135,74,1,60000,3
136,51,1,84000,3
137,13,1,0,3
138,137,1,26.6886,3
139,138,2,27.3286,3
142,139,1,-1,-1
142,26,4,0,3
143,140,1,-1,-1
143,38,1,0,3
144,97,1,46000,3
145,38,1,0,3
146,13,1,0,3
147,34,1,0,3
148,15,1,0,3
149,35,1,0,3
150,84,1,65000,3
151,67,1,83000,3
152,128,1,23000,3
153,74,1,78000,3
154,41,1,0,3
155,18,1,0,3
156,9,1,0,3
157,156,1,19.9684,3
158,156,1,1000,3
159,9,1,0,3
160,11,1,0,3
162,94,1,67000,3
163,160,11,-1,-1
163,162,1,16.7684,3
164,84,1,79000,3
165,3,1,0,3
166,41,1,0,3
168,74,1,93000,3
169,166,2,-1,-1
169,11,1,0,3
170,169,7,21.4406,3
171,128,1,42000,3
172,127,1,44000,3
173,60,1,0,3
174,67,1,0,3
175,90,1,84000,3
176,56,1,0,3
177,9,1,0,3
178,114,1,63000,3
179,13,1,0,3
180,179,1,23.3607,3
181,81,1,99000,3
182,3,1,0,3
183,8,1,0,3
184,56,1,0,3
185,80,1,0,3
186,13,1,0,3
187,38,1,0,3
188,156,1,31000,3
190,13,1,0,3
191,188,1,-1,-1
191,0,1,0,3
192,40,1,0,3
193,94,1,98000,3
194,67,1,0,3
195,98,1,96000,3
196,41,1,0,3
197,4,1,0,3
198,197,4,21.4406,3
199,63,1,0,3
200,8,1,0,3
201,65,1,0,3
202,201,3,21.7607,3
203,137,1,65000,3
204,56,1,0,3
