time,seq,class,rtt,hops
2,1,2,26.0486,3
3,0,1,-1,-1
3,2,1,21.4406,3
4,3,1,20.4806,3
5,4,1,23.0407,3
7,6,1,21.7606,3
8,5,1,-1,-1
8,7,1,27.0086,3
10,9,1,26.3686,3
11,8,3,-1,-1
11,10,1,28.2887,3
12,11,1,19.2006,3
14,13,1,19.5206,3
15,12,1,-1,-1
15,13,1,1000,3
16,7,1,8000,3
17,16,1,22.7206,3
18,13,1,4000,3
19,18,1,26.0486,3
20,19,1,25.6644,3
21,20,1,30.0166,3
22,21,1,21.8886,3
23,22,1,21.1206,3
24,23,1,28.6086,3
25,24,1,22.7207,3
26,25,2,28.4166,3
27,7,1,19000,3
30,27,1,-1,-1
30,21,1,8000,3
31,28,1,-1,-1
32,11,1,20000,3
33,30,1,-1,-1
34,33,1,25.6007,3
35,32,1,-1,-1
35,34,12,28.2887,3
36,35,1,22.0806,3
37,11,1,25000,3
38,37,1,20.1607,3
39,38,1,19.8406,3
40,24,1,15000,3
41,40,5,27.3286,3
42,41,1,19.2006,3
43,42,1,20.1606,3
44,43,1,25.0886,3
45,44,4,25.0887,3
46,45,3,17.6006,3
47,46,1,26.3686,3
48,21,1,26000,3
50,42,1,7000,3
51,48,1,-1,-1
51,50,1,16.9607,3
52,16,1,35000,3
53,52,1,25.7286,3
54,35,1,18000,3
55,54,1,30.3366,3
56,54,1,1000,3
57,56,1,18.3684,3
59,20,1,38000,3
60,57,1,-1,-1
60,59,1,22.8486,3
61,60,1,34.8166,3
63,62,1,20.9286,3
64,61,1,-1,-1
64,63,1,29.3766,3
65,64,1,15.4884,3
66,50,1,15000,3
67,66,1,25.4086,3
68,41,1,26000,3
69,60,1,8000,3
70,21,1,48000,3
71,70,1,23.6806,3
72,71,1,21.3767,3
73,7,1,65000,3
75,43,1,31000,3
76,73,4,-1,-1
76,19,1,56000,3
77,35,1,41000,3
78,77,1,26.4966,3
80,20,1,59000,3
81,78,1,-1,-1
81,62,1,18000,3
82,38,1,43000,3
83,43,1,39000,3
84,18,1,65000,3
86,85,1,26.6887,3
87,84,1,-1,-1
87,52,1,34000,3
88,87,1,31.9366,3
89,11,1,77000,3
90,52,1,37000,3
91,4,1,86000,3
92,7,1,84000,3
93,92,1,21.1206,3
94,93,1,26.0487,3
95,52,1,42000,3
96,9,1,86000,3
97,64,1,32000,3
98,62,1,35000,3
99,98,1,22.0807,3
100,99,1,21.2487,3
101,59,1,41000,3
102,54,1,47000,3
103,60,1,42000,3
104,64,1,39000,3
105,85,1,19000,3
106,63,1,42000,3
108,43,1,64000,3
109,106,4,-1,-1
109,52,1,56000,3
110,60,1,49000,3
111,110,1,12.4804,3
113,11,1,0,3
114,111,5,-1,-1
114,19,1,94000,3
115,114,1,24.7687,3
116,77,1,38000,3
117,3,1,0,3
118,117,5,23.6806,3
119,118,1,29.5686,3
120,6,1,0,3
121,120,2,28.2887,3
122,110,1,11000,3
123,114,1,8000,3
124,123,2,19.9686,3
125,18,1,0,3
126,3,1,0,3
127,126,1,24.0006,3
128,126,1,1000,3
129,56,1,72000,3
130,98,1,31000,3
131,98,1,32000,3
132,131,1,14.0804,3
133,114,1,18000,3
134,60,1,73000,3
135,134,1,30.5286,3
136,2,1,0,3
137,16,1,0,3
138,18,1,0,3
139,21,1,0,3
140,18,1,0,3
141,140,1,24.7686,3
142,62,1,79000,3
143,19,1,0,3
144,38,1,0,3
145,144,1,19.8406,3
146,35,1,0,3
147,144,1,2000,3
148,147,15,22.7207,3
149,3,1,0,3
150,46,1,0,3
151,56,1,94000,3
152,151,3,31.9367,3
153,25,2,0,3
154,71,1,82000,3
155,154,10,25.8566,3
156,3,1,0,3
157,62,1,94000,3
158,11,1,0,3
159,144,1,14000,3
160,159,1,25.7286,3
161,50,1,0,3
162,7,1,0,3
164,54,1,0,3
165,162,1,-1,-1
165,164,1,14.8484,3
166,43,1,0,3
167,18,1,0,3
168,167,2,24.1286,3
169,20,1,0,3
170,20,1,0,3
171,23,1,0,3
172,98,1,73000,3
173,56,1,0,3
174,173,2,17.6007,3
175,41,1,0,3
176,92,1,83000,3
177,62,1,0,3
178,24,1,0,3
179,178,4,33.2166,3
180,179,1,25.5366,3
181,10,1,0,3
182,13,1,0,3
183,11,1,0,3
184,59,1,0,3
185,54,1,0,3
186,87,1,98000,3
187,134,1,52000,3
188,60,1,0,3
189,63,1,0,3
190,66,1,0,3
191,190,1,15.9364,3
192,99,1,92000,3
193,22,1,0,3
194,77,1,0,3
195,194,14,30.2087,3
196,195,1,19.2006,3
197,64,1,0,3
198,87,1,0,3
199,38,1,0,3
200,56,1,0,3
201,50,1,0,3
202,33,1,0,3
203,195,1,7000,3
204,42,1,0,3
205,159,1,45000,3
206,33,1,0,3
207,77,1,0,3
208,98,1,0,3
209,37,1,0,3
210,209,6,27.9687,3
211,110,1,0,3
213,18,1,0,3
214,211,4,-1,-1
215,52,1,0,3
216,213,6,-1,-1
216,110,1,0,3
217,22,1,0,3
218,98,1,0,3
219,3,1,0,3
220,99,1,0,3
221,52,1,0,3
222,11,1,0,3
223,24,1,0,3
224,60,1,0,3
225,21,1,0,3
226,85,1,0,3
227,98,1,0,3
228,19,1,0,3
229,71,1,0,3
230,229,5,27.3286,3
231,190,1,40000,3
232,231,4,28.9286,3
233,2,1,0,3
234,24,1,0,3
235,18,1,0,3
236,99,1,0,3
237,66,1,0,3
238,23,1,0,3
239,24,1,0,3
240,59,1,0,3
241,59,1,0,3
242,71,1,0,3
243,50,1,0,3
244,11,1,0,3
245,54,1,0,3
246,99,1,0,3
247,246,2,20.4807,3
248,33,1,0,3
249,2,1,0,3
250,24,1,0,3
251,134,1,0,3
252,41,1,0,3
253,252,4,18.8806,3
254,21,1,0,3
255,33,1,0,3
256,195,1,60000,3
257,10,1,0,3
258,257,2,21.5686,3
259,258,1,23.4887,3
260,259,5,26.6887,3
261,190,1,70000,3
262,87,1,0,3
263,77,1,0,3
264,118,1,0,3
265,264,4,25.7286,3
266,265,2,32.4487,3
267,46,1,0,3
269,268,9,19.2006,3
270,267,4,-1,-1
270,164,1,0,3
272,271,2,28.9286,3
273,270,5,-1,-1
273,66,1,0,3
274,98,1,0,3
275,16,1,0,3
276,275,1,27.0087,3
277,43,1,0,3
278,277,2,20.4806,3
279,278,4,28.2886,3
280,179,1,0,3
281,41,1,0,3
282,195,1,86000,3
283,38,1,0,3
284,52,1,0,3
285,2,1,0,3
286,37,1,0,3
287,11,1,0,3
288,52,1,0,3
289,144,1,0,3
290,2,1,0,3
291,46,1,0,3
292,11,1,0,3
293,292,2,32.1287,3
294,258,1,35000,3
295,131,1,0,3
296,87,1,0,3
297,62,1,0,3
298,38,1,0,3
